nom;departement;population;
Bourg-en-Bresse;01;43 454;
Laon;02;26 031;
Saint-Quentin;02;55 940;
Soissons;02;29 417;
Montluçon;03;37 417;
Gap;05;42 567;
Antibes;06;74 982;
Cagnes-sur-Mer;06;50 385;
Cannes;06;75 046;
Le Cannet;06;42 056;
Grasse;06;51 705;
Menton;06;28 942;
Nice;06;345 998;
Saint-Laurent-du-Var;06;28 831;
Vallauris;06;26 787;
Charleville-Mézières;08;48 420;
Troyes;10;61 988;
Carcassonne;11;47 418;
Narbonne;11;55 001;
Rodez;12;25 747;
Aix-en-Provence;13;146 385;
Arles;13;53 807;
Aubagne;13;45 711;
La Ciotat;13;35 758;
Istres;13;44 248;
Marignane;13;33 949;
Marseille;13;870 018;
Martigues;13;49 310;
Miramas;13;26 217;
Salon-de-Provence;13;46 225;
Vitrolles;13;34 301;
Caen;14;108 461;
Aurillac;15;27 659;
Angoulême;16;44 629;
La Rochelle;17;78 623;
Saintes;17;26 890;
Bourges;18;67 841;
Vierzon;18;27 036;
Brive-la-Gaillarde;19;48 333;
Ajaccio;2A;70 063;
Bastia;2B;45 596;
Dijon;21;159 031;
Saint-Brieuc;22;47 058;
Bergerac;24;28 166;
Périgueux;24;31 505;
Besançon;25;120 107;
Montbéliard;25;26 015;
Montélimar;26;39 924;
Romans-sur-Isère;26;34 095;
Valence;26;64 322;
Évreux;27;51 560;
Chartres;28;40 195;
Dreux;28;31 575;
Brest;29;142 629;
Quimper;29;66 743;
Alès;30;41 129;
Nîmes;30;154 196;
Colomiers;31;39 200;
Muret;31;25 961;
Toulouse;31;482 738;
Tournefeuille;31;27 008;
Bègles;33;28 092;
Bordeaux;33;256 045;
Gradignan;33;26 029;
Libourne;33;25 491;
Mérignac;33;71 203;
Pessac;33;62 737;
Saint-Médard-en-Jalles;33;31 576;
Talence;33;44 040;
La Teste-de-Buch;33;26 525;
Villenave-d'Ornon;33;33 091;
Agde;34;28 120;
Béziers;34;77 894;
Lunel;34;26 263;
Montpellier;34;286 098;
Sète;34;44 271;
Rennes;35;222 104;
Saint-Malo;35;47 528;
Châteauroux;36;45 780;
Joué-lès-Tours;37;37 974;
Tours;37;139 963;
Bourgoin-Jallieu;38;28 399;
Échirolles;38;36 143;
Grenoble;38;160 836;
Saint-Martin-d'Hères;38;38 974;
Vienne;38;30 178;
Mont-de-Marsan;40;31 517;
Blois;41;47 524;
Roanne;42;35 913;
Saint-Chamond;42;35 969;
Saint-Étienne;42;174 298;
Nantes;44;314 611;
Orvault;44;26 618;
Rezé;44;41 808;
Saint-Herblain;44;47 502;
Saint-Nazaire;44;72 295;
Saint-Sébastien-sur-Loire;44;27 591;
Orléans;45;118 102;
Agen;47;34 565;
Angers;49;155 543;
Cholet;49;55 772;
Saumur;49;28 554;
Sèvremoine;49;26 239;
Cherbourg-en-Cotentin;50;82 578;
Châlons-en-Champagne;51;46 288;
Reims;51;187 074;
Saint-Dizier;52;25 666;
Laval;53;52 359;
Nancy;54;106 953;
Vandœuvre-lès-Nancy;54;30 502;
Lorient;56;58 789;
Vannes;56;55 573;
Metz;57;119 856;
Thionville;57;41 396;
Nevers;58;34 799;
Armentières;59;25 373;
Cambrai;59;33 349;
Douai;59;40 860;
Dunkerque;59;89 485;
Lambersart;59;28 027;
Lille;59;236 782;
Marcq-en-Barœul;59;39 697;
Maubeuge;59;29 995;
Roubaix;59;96 953;
Tourcoing;59;98 170;
Valenciennes;59;44 509;
Villeneuve-d'Ascq;59;63 085;
Wattrelos;59;41 570;
Beauvais;60;57 548;
Compiègne;60;41 660;
Creil;60;36 091;
Alençon;61;27 221;
Arras;62;41 973;
Béthune;62;25 753;
Boulogne-sur-Mer;62;42 293;
Calais;62;75 719;
Hénin-Beaumont;62;26 260;
Lens;62;31 080;
Liévin;62;31 337;
Clermont-Ferrand;63;146 112;
Anglet;64;39 995;
Bayonne;64;51 943;
Biarritz;64;25 518;
Pau;64;79 022;
Tarbes;65;41 862;
Perpignan;66;123 602;
Haguenau;67;35 024;
Illkirch-Graffenstaden;67;27 505;
Schiltigheim;67;32 024;
Strasbourg;67;283 515;
Colmar;68;71 445;
Mulhouse;68;110 468;
Bron;69;41 589;
Caluire-et-Cuire;69;43 546;
Décines-Charpieu;69;28 249;
Lyon 1er Arrondissement;69;30 423;
Lyon 2e Arrondissement;69;30 857;
Lyon 3e Arrondissement;69;103 506;
Lyon 4e Arrondissement;69;36 524;
Lyon 5e Arrondissement;69;49 998;
Lyon 6e Arrondissement;69;52 282;
Lyon 7e Arrondissement;69;82 651;
Lyon 8e Arrondissement;69;85 610;
Lyon 9e Arrondissement;69;51 313;
Meyzieu;69;33 351;
Oullins;69;26 838;
Rillieux-la-Pape;69;30 275;
Saint-Priest;69;46 153;
Vaulx-en-Velin;69;48 906;
Vénissieux;69;65 822;
Villefranche-sur-Saône;69;37 783;
Villeurbanne;69;150 375;
Chalon-sur-Saône;71;47 085;
Mâcon;71;34 448;
Le Mans;72;146 804;
Aix-les-Bains;73;30 377;
Chambéry;73;60 872;
Annecy;74;130 257;
Annemasse;74;35 461;
Thonon-les-Bains;74;36 296;
Paris;75;2 210 875;
Dieppe;76;30 588;
Le Grand-Quevilly;76;26 175;
Le Havre;76;172 769;
Rouen;76;112 596;
Saint-Étienne-du-Rouvray;76;29 180;
Sotteville-lès-Rouen;76;29 766;
